sample_id,i_bits,o_bits,i_hex,o_hex,count,first_seed,first_cycle,first_pc_id,first_instr_rdata_id
56,0000011000000000001000000010000110001000,0000,0x600202188,0x0,3,888,1218,800002c2,800004b7
57,0000011000000000001000000010100110000000,0000,0x600202980,0x0,1,889,12234,80003de8,00007ab7
58,0000011000000000001000110011000101000000,0000,0x600233140,0x0,1,889,5238,80003de8,00007ab7
59,0000011000000000001000110011000101100000,0000,0x600233160,0x0,1,888,1792,8000307c,00000013
60,0000011000000000001001000010000110001000,0000,0x600242188,0x0,1,889,979,800002e4,80000537
61,0000011000000000001001110011000101101000,0000,0x600273168,0x0,1,889,43,800000b0,00000593
62,0000011000000000001010110011000101000000,0000,0x6002b3140,0x0,1,888,8965,80002482,000015b7
63,0000011000000000001010110011000101001010,0000,0x6002b314a,0x0,1,888,9062,800024ca,000015b7
64,0000011000000000001010110011000101100000,0000,0x6002b3160,0x0,1,888,9082,800024e2,000015b7
65,0000011000000000001010110011000101101000,0000,0x6002b3168,0x0,3,888,1356,8000033a,00000593
66,0000011000000000001010110011000101111000,0000,0x6002b3178,0x0,1,888,9167,80002512,000015b7
67,0000011000000000001010110011100101000000,0000,0x6002b3940,0x0,3,888,6161,8000034e,00000593
68,0000011000000000001010110011100101010000,0000,0x6002b3950,0x0,1,888,1058,80000274,30000593
69,0000011000000000001010110011100101100000,0000,0x6002b3960,0x0,2,888,9124,800024fa,000015b7
70,0000011000000000001011000010100110000000,0000,0x6002c2980,0x0,1,889,989,800002ea,80000637
71,0000011000000000001011110011000101000000,0000,0x6002f3140,0x0,1,889,12178,80003dc6,00000013
72,0000011000000000001011110011100101110000,0000,0x6002f3970,0x0,1,889,5141,80003dc6,00000013
73,0000011000000000001100000010000110001000,0000,0x600302188,0x0,1,889,13318,80003f58,00000013
74,0000011000000000001100000010100110000000,0000,0x600302980,0x0,1,889,6400,800040a4,00000013
75,0000011000000000001100110011000101011000,0000,0x600333158,0x0,1,889,13824,800040a4,00000013
76,0000011000000000001100110011000101100000,0000,0x600333160,0x0,1,889,7959,800036ba,00000013
77,0000011000000000001100110011000101101000,0000,0x600333168,0x0,1,888,1232,800002d8,800006b7
78,0000011000000000001100110011100101110000,0000,0x600333970,0x0,1,889,5769,80003f58,00000013
79,0000011000000000001101000010000110001000,0000,0x600342188,0x0,1,889,5862,80003f98,00000013
80,0000011000000000001101000010000110101000,0000,0x6003421a8,0x0,1,889,11924,80003d0c,00000013
81,0000011000000000001101110011000101100000,0000,0x600373160,0x0,1,889,13382,80003f98,00000013
82,0000011000000000001101110011000101101000,0000,0x600373168,0x0,1,889,7425,800034cc,00000917
83,0000011000000000001101110011000101110000,0000,0x600373170,0x0,2,889,6213,8000406e,00000013
84,0000011000000000001110000010000110011000,0000,0x600382198,0x0,1,889,14225,800041a8,00000013
85,0000011000000000001110000010000110101000,0000,0x6003821a8,0x0,1,889,7148,800041a8,00000013
86,0000011000000000001110000010100110000000,0000,0x600382980,0x0,1,888,8956,8000247c,90000537
87,0000011000000000001110110011000101100000,0000,0x6003b3160,0x0,4,889,4176,80003a54,00000013
88,0000011000000000001110110011000101101000,0000,0x6003b3168,0x0,1,888,443,800000b0,00000593
89,0000011000000000001110110011000101110000,0000,0x6003b3170,0x0,1,889,2143,80003688,00000013
90,0000011000000000001110110011000101111000,0000,0x6003b3178,0x0,1,889,7861,80003688,00000013
91,0000011000000000001111000010100110000000,0000,0x6003c2980,0x0,2,888,1352,80000334,90000537
92,0000011000000000001111110011000101000000,0000,0x6003f3140,0x0,2,889,3460,80003964,00000013
93,0000011000000000010000000010000110110000,0000,0x6004021b0,0x0,1,888,1248,800002e6,800008b7
94,0000011000000000010000000010100110000000,0000,0x600402980,0x0,1,889,1049,80000304,00000913
95,0000011000000000010001000010000110111000,0000,0x6004421b8,0x0,1,889,27,80000094,00002597
96,0000011000000000010001110011000101000000,0000,0x600473140,0x0,1,889,17395,8000280e,900003b7
97,0000011000000000010001110011000101111000,0000,0x600473178,0x0,1,888,1249,800002ea,00000913
98,0000011000000000010010000010000110001000,0000,0x600482188,0x0,1,889,1051,80000306,800009b7
99,0000011000000000010010110011000101100000,0000,0x6004b3160,0x0,1,889,6061,8000402c,00000013
100,0000011000000000010010110011000101101000,0000,0x6004b3168,0x0,1,889,13622,8000402c,00000013
101,0000011000000000010010110011000101111000,0000,0x6004b3178,0x0,1,889,7440,800034de,00000013
102,0000011000000000010010110011100101110000,0000,0x6004b3970,0x0,1,888,1250,800002ec,800009b7
103,0000011000000000010100000010000110001000,0000,0x600502188,0x0,2,889,4259,80003a78,00000013
104,0000011000000000010100000010000110101000,0000,0x6005021a8,0x0,1,888,1266,800002f8,00000a93
105,0000011000000000010100000010100110000000,0000,0x600502980,0x0,1,888,4170,80003224,00000013
106,0000011000000000010110000010000110001000,0000,0x600582188,0x0,1,889,1073,80000316,80000bb7
107,0000011000000000010110110011000101000000,0000,0x6005b3140,0x0,1,888,4069,800031ea,00000013
108,0000011000000000010111110011000101000000,0000,0x6005f3140,0x0,1,889,1074,8000031a,80000c37
109,0000011000000000011000110011000101000000,0000,0x600633140,0x0,1,889,13205,80003ef6,00000013
110,0000011000000000011000110011100101000000,0000,0x600633940,0x0,2,889,1075,8000031e,00000c93
111,0000011000000000011000110011100101100000,0000,0x600633960,0x0,1,888,1595,80003026,00000013
112,0000011000000000011001000010100110000000,0000,0x600642980,0x0,1,888,388,80000094,00002597
113,0000011000000000011001110011000101000000,0000,0x600673140,0x0,2,888,4584,800023fe,90000537
114,0000011000000000011001110011000101110000,0000,0x600673170,0x0,1,888,3199,800023fe,90000537
115,0000011000000000011010000010000110001000,0000,0x600682188,0x0,1,889,17498,8000288e,900003b7
116,0000011000000000011010000010000110101000,0000,0x6006821a8,0x0,1,889,1108,80000328,00000d93
117,0000011000000000011010000010100110001000,0000,0x600682988,0x0,1,889,3393,80003956,00000013
118,0000011000000000011010000010100110101000,0000,0x6006829a8,0x0,1,889,9590,80003956,00000013
119,0000011000000000011010110011000101110000,0000,0x6006b3170,0x0,1,888,1290,8000030e,00000d93
120,0000011000000000011011000010100110000000,0000,0x6006c2980,0x0,1,889,13872,800040c4,00000013
121,0000011000000000011011000010100110100000,0000,0x6006c29a0,0x0,1,889,6446,800040c4,00000013
122,0000011000000000011011110011000101001000,0000,0x6006f3148,0x0,1,888,1291,80000310,80000e37
123,0000011000000000011100000010000110011000,0000,0x600702198,0x0,1,889,7053,80004178,00000013
124,0000011000000000011100000010000110100000,0000,0x6007021a0,0x0,1,889,14166,80004178,00000013
125,0000011000000000011100110011000101100000,0000,0x600733160,0x0,1,889,1110,8000032c,80000eb7
126,0000011000000000011101000010100110000000,0000,0x600742980,0x0,1,889,3008,8000386c,00000013
127,0000011000000000011101000010100110110000,0000,0x6007429b0,0x0,1,889,3157,800038c0,00000013
128,0000011000000000011101110011000101000000,0000,0x600773140,0x0,2,889,2675,800037c0,00000013
129,0000011000000000011101110011000101001000,0000,0x600773148,0x0,1,889,9218,800038c0,00000013
130,0000011000000000011101110011100101100000,0000,0x600773960,0x0,1,889,1111,80000330,00000f13
131,0000011000000000011110110011000101000000,0000,0x6007b3140,0x0,2,888,1788,80003074,00000013
132,0000011000000000011111000010100110000000,0000,0x6007c2980,0x0,2,889,5416,80003e48,00000013
133,0000011000000000011111110011000101110000,0000,0x6007f3170,0x0,1,888,5852,800032dc,00002937
134,0000011000000000100011110011000101000000,0000,0x6008f3140,0x0,2,889,3459,80003962,00100793
135,0000011000000000101000000010000110001000,0000,0x600a02188,0x0,1,889,12397,80003e3c,00100fb3
136,0000011000000000101000110011000101110000,0000,0x600a33170,0x0,1,889,5384,80003e3c,00100fb3
137,0000011000000000101101000010000110000000,0000,0x600b42180,0x0,1,889,7509,800035da,00101633
138,0000011000000000101101110011000101100000,0000,0x600b73160,0x0,1,889,1325,800035da,00101633
139,0000011000000000101110000011000101000000,0000,0x600b83140,0x0,1,888,5361,80002432,00100513
140,0000011000000000101110000011000101100000,0000,0x600b83160,0x0,1,888,3366,80002432,00100513
141,0000011000000001001000000010000110000000,0000,0x601202180,0x0,1,888,5377,80002462,00200513
142,0000011000000001001000000010100110000000,0000,0x601202980,0x0,1,888,3478,80002462,00200513
143,0000011000000001001010110011000101000010,0000,0x6012b3142,0x0,1,888,5392,80003e74,34200593
144,0000011000000001001010110011100101000000,0000,0x6012b3940,0x0,1,888,3644,80003e74,34200593
145,0000011000000001100000110011100101110000,0000,0x601833970,0x0,1,889,916,800002b2,08300013
146,0000011000000001101011110011000101000000,0000,0x601af3140,0x0,2,888,3246,80002416,00300513
147,0000011000000001101011110011100101000000,0000,0x601af3940,0x0,2,888,8872,80002416,00300513
148,0000011000000001110000000010000110101000,0000,0x601c021a8,0x0,1,889,3346,8000392c,3c304293
149,0000011000000001110000110011100101100000,0000,0x601c33960,0x0,1,889,9493,8000392c,3c304293
150,0000011000000001110101000010100110000000,0000,0x601d42980,0x0,1,889,1061,80000314,00300b13
151,0000011000000010000000110011000101001000,0000,0x602033148,0x0,2,889,4260,80003a7a,00400533
152,0000011000000010000111110011000101000000,0000,0x6021f3140,0x0,1,889,868,80000296,30400593
153,0000011000000010001001110011000101001000,0000,0x602273148,0x0,1,888,1219,800002c6,00400513
154,0000011000000010001010110011000101000000,0000,0x6022b3140,0x0,1,888,1122,8000028a,30400593
155,0000011000000010011010110011000101001000,0000,0x6026b3148,0x0,1,888,6050,80003382,004001b3
156,0000011000000010011100000010000110101000,0000,0x6027021a8,0x0,2,889,1503,80003640,04402013
157,0000011000000010100110110011000101001000,0000,0x6029b3148,0x0,1,888,1201,800002b8,00500393
158,0000011000000010111110000010000110101000,0000,0x602f821a8,0x0,1,888,3371,80002438,00500513
159,0000011000000010111110000011000101000000,0000,0x602f83140,0x0,1,888,5363,80002438,00500513
160,0000011000000011100110000011000101000000,0000,0x603983140,0x0,1,888,5365,8000243e,00700513
161,0000011000000011100110000011100101100000,0000,0x603983960,0x0,1,888,3373,8000243e,00700513
162,0000011000000011110011110011000101101000,0000,0x603cf3168,0x0,1,889,1052,8000030a,00700a13
163,0000011000000011111000000010000110101000,0000,0x603e021a8,0x0,1,888,1289,8000030c,00700d13
164,0000011000000100000111110011000101000000,0000,0x6041f3140,0x0,1,889,17397,80002814,00800593
165,0000011000000100001000000010000110001000,0000,0x604202188,0x0,1,888,3321,80002420,00800513
166,0000011000000100001000000010000110011000,0000,0x604202198,0x0,1,888,8912,80002420,00800513
167,0000011000000100001000000010000110100000,0000,0x6042021a0,0x0,1,888,5355,80002420,00800513
168,0000011000000100001000000010100110100000,0000,0x6042029a0,0x0,1,889,17437,80002832,00800393
169,0000011000000100001010000010000110001000,0000,0x604282188,0x0,1,888,8844,80002404,00800593
170,0000011000000100001010110011000101100000,0000,0x6042b3160,0x0,1,888,3201,80002404,00800593
171,0000011000000100001010110011010001000000,0000,0x6042b3440,0x0,1,888,4586,80002404,00800593
172,0000011000000100100010110011000101110000,0000,0x6048b3170,0x0,1,888,1171,800002a8,00900193
173,0000011000000100110011000010100110110000,0000,0x604cc29b0,0x0,1,888,4046,800031e2,009074b3
174,0000011000000100111010000011000101001000,0000,0x604e83148,0x0,1,888,8914,80002426,00900513
175,0000011000000100111010000011000101110000,0000,0x604e83170,0x0,1,888,5357,80002426,00900513
176,0000011000000100111010000011100101000000,0000,0x604e83940,0x0,1,888,3323,80002426,00900513
177,0000011000000100111101110011000101100000,0000,0x604f73160,0x0,2,889,3326,80003910,00900db3
178,0000011000000101001010000010000110000000,0000,0x605282180,0x0,1,888,3616,80003e64,00a00593
179,0000011000000101001010110011000101000000,0000,0x6052b3140,0x0,1,888,5384,80003e64,00a00593
180,0000011000000101011001000010000110101000,0000,0x6056421a8,0x0,1,889,11086,80003aa6,bca07537
181,0000011000000101011001110011100101010000,0000,0x605673950,0x0,1,889,4305,80003aa6,bca07537
182,0000011000000101011011110011000101101000,0000,0x6056f3168,0x0,1,889,1109,8000032a,00a00e13
183,0000011000000101110100000010100110000000,0000,0x605d02980,0x0,1,888,3360,8000242c,00b00513
184,0000011000000101110100000011000101010000,0000,0x605d03150,0x0,1,888,5359,8000242c,00b00513
185,0000011000000101110100000011000101101000,0000,0x605d03168,0x0,1,888,8916,8000242c,00b00513
186,0000011000000110000001000011000101000000,0000,0x606043140,0x0,1,888,5367,80002444,00c00513
187,0000011000000110000001000011000101111000,0000,0x606043178,0x0,1,888,3378,80002444,00c00513
188,0000011000000110001110110011100101000000,0000,0x6063b3940,0x0,1,889,1028,800002fe,00c00793
189,0000011000000110010101000010000110011000,0000,0x606542198,0x0,1,889,13757,80004090,38c03113
190,0000011000000110010101000010100110100000,0000,0x6065429a0,0x0,1,889,6272,80004090,38c03113
191,0000011000000110010110110011000101000000,0000,0x6065b3140,0x0,1,889,6509,800040ce,00c00433
192,0000011000000110010110110011000101001000,0000,0x6065b3148,0x0,1,889,13916,800040ce,00c00433
193,0000011000000110101000000010000110100000,0000,0x606a021a0,0x0,1,888,5370,8000244e,00d00513
194,0000011000000110101000000010100110001000,0000,0x606a02988,0x0,1,888,3416,8000244e,00d00513
195,0000011000000110101101110011000101101000,0000,0x606b73168,0x0,1,888,1233,800002dc,00d00713
196,0000011000000110111110000010000110011000,0000,0x606f82198,0x0,1,889,1123,80000332,fcd01fb7
197,0000011000000111001100110011100101100000,0000,0x607333960,0x0,1,888,6054,8000338a,00e00313
198,0000011000000111100101110011000101100000,0000,0x607973160,0x0,1,889,932,800002ce,00f00313
199,0000011000000111101000000010000110100000,0000,0x607a021a0,0x0,1,888,5373,80002458,00f00513
200,0000011000000111101000000010100110100000,0000,0x607a029a0,0x0,1,888,3446,80002458,00f00513
201,0000011000000111101111000010000110001000,0010,0x607bc2188,0x2,1,889,7352,800034a0,00f007b3
202,0000011000000111110110110011100101100000,0000,0x607db3960,0x0,1,888,1271,80000302,00f00b93
203,0000011000001000001101000010100110100000,0000,0x6083429a0,0x0,1,889,11836,80003cb8,01000093
204,0000011000001000001101000010100110110000,0000,0x6083429b0,0x0,1,889,4883,80003cb8,01000093
205,0000011000001000010110110011000101100000,0000,0x6085b3160,0x0,1,889,4843,80003c8c,01000933
206,0000011000001001000111000010100110000000,0000,0x6091c2980,0x0,1,888,5871,800032e2,012039b3
207,0000011000001001100100000010100110010000,0000,0x609902990,0x0,1,888,4076,800031f0,01300613
208,0000011000001001101000110011100101000000,0000,0x609a33940,0x0,1,888,4189,8000322c,01300ab3
209,0000011000001001101010000010000110001000,0000,0x609a82188,0x0,1,889,3036,80003872,87304613
210,0000011000001001101100000010000110011000,0000,0x609b02198,0x0,1,889,9139,80003872,87304613
211,0000011000001001111101000010000110001000,0000,0x609f42188,0x0,1,889,11605,80003bda,01305c33
212,0000011000001001111101110011000101101000,0000,0x609f73168,0x0,1,889,4666,80003bda,01305c33
213,0000011000001010100011110011100101000000,0000,0x60a8f3940,0x0,1,888,1977,80003172,01504f33
214,0000011000001011001101110011000101100000,0000,0x60b373160,0x0,1,889,11469,80003b94,01600eb3
215,0000011000001011101101110011000101001000,0000,0x60bb73148,0x0,1,889,14228,800041b2,01700533
216,0000011000001011101101110011100101110000,0000,0x60bb73970,0x0,1,889,7154,800041b2,01700533
217,0000011000001100101000110011100101000000,0000,0x60ca33940,0x0,1,889,2435,80003790,01900633
218,0000011000001100101000110011100101100000,0000,0x60ca33960,0x0,1,889,14552,80003574,fd901017
219,0000011000001100101011000010000110001000,0000,0x60cac2188,0x0,1,889,9852,800039f4,01900d13
220,0000011000001100101011110011000101100000,0000,0x60caf3160,0x0,1,889,4016,800039f4,01900d13
221,0000011000001100110111110011000101000000,0000,0x60cdf3140,0x0,1,889,2523,800037a4,01902fb3
222,0000011000001100111000110011000101001000,0000,0x60ce33148,0x0,1,889,11606,80003bde,5b903a13
223,0000011000001100111000110011000101101000,0000,0x60ce33168,0x0,1,889,4667,80003bde,5b903a13
224,0000011000001101101011000010100110000000,0000,0x60dac2980,0x0,1,889,7983,800036c6,01b06693
225,0000011000001101101011000010100110100000,0000,0x60dac29a0,0x0,1,889,2189,800036c6,01b06693
226,0000011000001110011011110011000101111000,0000,0x60e6f3178,0x0,1,888,5851,800032da,01c00fb3
227,0000011000001111011101000010000110011000,0000,0x60f742198,0x0,1,889,2354,80003740,01e00c13
228,0000011000001111100100000011000101110000,0000,0x60f903170,0x0,1,889,4182,80003a66,fff00313
229,0000011000001111100100000011100101100000,0000,0x60f903960,0x0,1,889,11012,80003a66,fff00313
230,0000011000001111100110000011000101001000,0000,0x60f983148,0x0,1,889,9192,80003882,01f00793
231,0000011000001111100110000011000101010000,0000,0x60f983150,0x0,1,889,3116,80003882,01f00793
232,0000011000001111101000110011100101000000,0000,0x60fa33940,0x0,2,889,4239,80003a76,fff00a13
233,0000011000001111101001110011000101110000,0000,0x60fa73170,0x0,1,889,731,80000236,fff00593
234,0000011000001111101010000011000101111000,0000,0x60fa83178,0x0,1,889,9055,8000382c,fff00a93
235,0000011000001111101010110011000101000000,0000,0x60fab3140,0x0,1,888,1541,80003002,fff00e13
236,0000011000001111101110000010000110001000,0000,0x60fb82188,0x0,1,888,980,80000236,fff00593
237,0000011000001111101110000010000110100000,0000,0x60fb821a0,0x0,1,889,6247,80004088,fff00813
238,0000011000001111101110000010100110000000,0000,0x60fb82980,0x0,1,889,14315,800041c4,fff00f93
239,0000011000001111111010110011100101000000,0000,0x60feb3940,0x0,1,888,5702,80003252,fff00093
240,0000011000001111111110110011000101000000,0000,0x60ffb3140,0x0,1,889,7957,800036b4,fff00293
241,0000011000010000000000110011000101000000,0000,0x610033140,0x0,1,889,7054,8000417a,0000d437
242,0000011000010000000000110011000101100000,0000,0x610033160,0x0,1,889,6212,8000406c,0000f6b7
243,0000011000010000000000110011100101100000,0000,0x610033960,0x0,1,889,14167,8000417a,0000d437
244,0000011000010000000010000010000110101000,0000,0x6100821a8,0x0,1,889,11055,80003a88,0000a437
245,0000011000010000000010110011000101111000,0000,0x6100b3178,0x0,1,889,4265,80003a88,0000a437
246,0000011000010000001000110011000101110000,0000,0x610233170,0x0,1,889,7963,800036c2,0000fa37
247,0000011000010001001000000010000110000000,0000,0x611202180,0x0,1,889,13368,80003f86,0020a933
248,0000011000010001001000000010000110010000,0000,0x611202190,0x0,1,889,5833,80003f86,0020a933
249,0000011000010001001011110011000101111000,0000,0x6112f3178,0x0,1,888,1743,80003062,4020d313
250,0000011000010010010011000010000110001000,0000,0x6124c2188,0x0,1,889,7723,8000362e,0040df13
251,0000011000010010010011110011100101010000,0000,0x6124f3950,0x0,1,889,1478,8000362e,0040df13
252,0000011000010010100001110011000101101000,0010,0x612873168,0x2,1,889,924,800002ba,c0508093
253,0000011000010011011011000010000110110000,0000,0x6136c21b0,0x0,1,889,14699,800035a6,be608f93
254,0000011000010011111111110011100101000000,0000,0x613ff3940,0x0,1,889,2524,800037a8,0070f3b3
255,0000011000010100010010110011100101100000,0000,0x6144b3960,0x0,1,888,5853,800032de,0c80e3b7
256,0000011000010110000100000010000110001000,0000,0x616102188,0x0,1,889,4840,80003c82,2ac08d93
257,0000011000010110100010110011000101100000,0000,0x6168b3160,0x0,1,888,1794,80003080,00d0b6b3
258,0000011000011010101111110011000101001000,0000,0x61abf3148,0x0,1,889,7353,800034a2,015093b3
259,0000011000011011110000110011000101100000,0000,0x61bc33160,0x0,1,889,5465,80003e60,017091b3
260,0000011000011011110000110011100101000000,0000,0x61bc33940,0x0,1,889,12484,80003e60,017091b3
261,0000011000011100001000000010100110000000,0000,0x61c202980,0x0,2,889,5667,80003eea,01809c13
262,0000011000011100001100000010000110111000,0000,0x61c3021b8,0x0,1,889,4304,80003aa2,4180dc93
263,0000011000011100001100110011100101000000,0000,0x61c333940,0x0,1,889,11079,80003aa2,4180dc93
264,0000011000011100101011110011000101100000,0000,0x61caf3160,0x0,1,889,8792,80003776,d390ac93
265,0000011000011110111000000010000110101000,0000,0x61ee021a8,0x0,1,889,1341,800035e8,41d0d333
266,0000011000011110111000110011100101000000,0000,0x61ee33940,0x0,1,889,7548,800035e8,41d0d333
267,0000011000100000000000000011100101100000,0000,0x620003960,0x0,1,889,4880,80003cb6,34010693
268,0000011000100000000000000011100101110000,0000,0x620003970,0x0,1,889,11828,80003cb6,34010693
269,0000011000100000000000110011000101100000,0000,0x620033160,0x0,1,888,1793,8000307e,1e010113
270,0000011000100000000000110011000101110000,0000,0x620033170,0x0,1,889,7006,80004152,000117b7
271,0000011000100000000000110011100101010000,0000,0x620033950,0x0,1,889,14084,80004152,000117b7
272,0000011000100000000010000010000110001000,0010,0x620082188,0x2,1,889,7291,800041e0,14010793
273,0000011000100000000010000010000110101000,0010,0x6200821a8,0x2,1,889,14349,800041e0,14010793
274,0000011000100000001001110011000101000000,0000,0x620273140,0x0,1,888,5847,800032ce,000159b7
275,0000011000100000001010110011000101000000,0000,0x6202b3140,0x0,1,889,11338,80003b4c,36010513
276,0000011000100000010000000010000110001000,0000,0x620402188,0x0,1,889,4385,80003ad0,14010113
277,0000011000100000010000110011000101000000,0000,0x620433140,0x0,1,889,11137,80003ad0,14010113
278,0000011000100000010011110011100101010000,0000,0x6204f3950,0x0,1,889,2347,8000373e,00013eb7
279,0000011000100000010100110011100101100000,0000,0x620533960,0x0,1,889,4312,80003ab2,00014cb7
280,0000011000100000010100110011100101110000,0000,0x620533970,0x0,2,889,11089,80003ab2,00014cb7
281,0000011000100000010110110011100101100000,0000,0x6205b3960,0x0,2,889,3331,80003920,2c010593
282,0000011000100000010111110011000101001000,0000,0x6205f3148,0x0,1,889,4939,80003cf6,3c010693
283,0000011000100000010111110011100101000000,0000,0x6205f3940,0x0,1,889,11890,80003cf6,3c010693
284,0000011000100000011000110011100101100000,0000,0x620633960,0x0,1,889,6243,80004086,3c010713
285,0000011000100000011010000010000110001000,0000,0x620682188,0x0,1,889,7490,800035d4,1e010613
286,0000011000100000011010000010000110111000,0000,0x6206821b8,0x0,1,889,14506,8000355c,00014a37
287,0000011000100000011010110011000101000000,0000,0x6206b3140,0x0,1,889,1323,800035d4,1e010613
288,0000011000100011010000000010100110000000,0000,0x623402980,0x0,1,889,6078,80004034,00615933
289,0000011000100011010000110011000101111000,0000,0x623433178,0x0,1,889,13625,80004034,00615933
290,0000011000100011111011000010000110001000,0000,0x623ec2188,0x0,1,888,1865,800030cc,40715a33
291,0000011000100011111110000010000110101000,0000,0x623f821a8,0x0,1,889,9097,8000383e,00712d33
292,0000011000100101000001110011000101011000,0000,0x625073158,0x0,1,889,7870,80003696,3aa153b7
